id;name;place;domain
1;satiate amongst gosh;below incomparable;furnish immaculate detract
2;huzzah whenever;unequaled sharply;freely
3;canon panic imperfect;less hmph sabotage;unto color aw
4;phooey;duh than;whether midst or
5;tremendously;past centimeter;clean athwart
6;organic;out poorly;fit
7;flex implement pish;consequently inasmuch;quintessential baste costly
8;angry cookie;yowza beet pack;round appropriate locate
9;wonderfully pollard;stranger hot;unlike
10;for willing gadzooks;bestseller for ack;versus
